##OTU ID	CD.IV.B.24	UC.PO.3M.93	no.IV.3M.123	CD.IV.3M.79	UC.PO.B.28	UC.IV.3M.103	no.PO.B.53	UC.PO.3M.95	CD.IV.B.19	CD.IV.B.43	UC.PO.B.11	CD.PO.3M.64	UC.PO.B.30	UC.IV.3M.104	UC.PO.B.36	no.IV.B.57	CD.IV.B.26	UC.IV.B.40	no.PO.B.45	no.IV.B.60	no.IV.3M.125	no.PO.B.52	no.IV.3M.118	CD.IV.B.22	CD.PO.B.4	no.IV.B.61	UC.PO.3M.94	no.PO.3M.116	no.PO.3M.115	no.PO.3M.113	no.PO.3M.114	CD.PO.B.7	CD.IV.B.20	CD.IV.3M.83	CD.PO.B.12	CD.IV.3M.106	CD.PO.3M.66	CD.IV.3M.85	UC.PO.3M.99	no.IV.3M.126	UC.PO.B.29	no.IV.3M.119	CD.PO.3M.71	UC.IV.3M.105	CD.PO.B.2	no.IV.B.63	CD.PO.3M.75	UC.PO.B.31	CD.PO.3M.76	CD.IV.B.15	no.PO.B.51	no.IV.B.55	CD.IV.B.14	no.IV.3M.124	no.PO.B.49	UC.IV.B.39	CD.PO.3M.72	CD.IV.B.25	CD.IV.B.18	CD.IV.3M.82	CD.PO.B.8	no.IV.3M.120	no.PO.3M.109	CD.IV.B.17	no.PO.3M.108	UC.IV.3M.100	CD.PO.B.5	UC.PO.3M.98	CD.IV.3M.88	CD.IV.3M.80	no.PO.B.48	CD.PO.B.1	UC.IV.B.37	CD.PO.3M.67	no.PO.B.50	UC.IV.B.27	UC.PO.3M.74	UC.IV.3M.107	CD.PO.3M.69	CD.PO.B.9	UC.IV.B.41	no.IV.3M.117	no.PO.3M.112	CD.PO.3M.68	UC.PO.3M.92	UC.IV.3M.102	no.IV.B.62	UC.PO.B.33	CD.IV.3M.89	UC.PO.B.35	UC.IV.B.38	UC.PO.3M.97	no.IV.3M.122	UC.IV.3M.101	UC.IV.B.44	CD.PO.3M.73	CD.IV.3M.77	no.PO.3M.111	no.IV.B.58	no.PO.B.47	CD.IV.3M.86	CD.PO.3M.70	UC.IV.B.42	CD.PO.3M.65	CD.IV.3M.81	CD.IV.B.23	UC.PO.B.34	no.IV.B.56	CD.IV.3M.87	no.IV.B.54	CD.IV.B.16	CD.IV.3M.78	CD.PO.B.6	CD.PO.B.10	no.IV.3M.121	CD.PO.B.13	no.PO.B.46	CD.IV.B.21	CD.IV.3M.84	no.IV.B.59	UC.PO.B.32	CD.PO.B.3	UC.PO.3M.91	UC.PO.3M.96	no.PO.3M.110	UC.IV.3M.90	taxonomy
Zotu1366	0	0	0	0	1	0	0	0	0	0	17	0	0	0	0	0	0	0	1	118	0	1	0	0	0	24	0	0	0	1	0	48	0	0	0	0	0	0	0	1	0	0	0	0	0	45	0	0	0	0	0	0	0	57	0	0	0	0	1	0	0	0	108	0	0	0	0	41	0	0	33	0	0	0	0	0	52	62	0	0	0	5	0	0	0	0	0	0	0	82	0	0	35	1	149	0	0	0	1	0	72	0	0	0	0	0	0	0	0	24	0	0	0	0	1	0	227	0	0	260	0	0	85	0	0	29	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;
Zotu76	0	188	287	621	183	7	38	15	1	7	8	19	210	88	0	72	48	16	28	10	36	56	21	8421	1038	29	180	43	379	26	70	192	15	0	640	0	0	2	2	1106	121	61	2	31	0	194	12	55	117	13	24	24	0	63	6	64	1	5	1	0	26	0	35	2	223	0	137	44	16	35	12	19	0	0	61	0	1	72	4	0	76	1678	499	0	9	6	291	0	48	19	391	48	13	1368	90	4	0	46	22	70	30	117	1	25	0	58	41	44	4	342	606	3	35	0	289	137	25	385	80	20	2	48	100	0	77	37	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;UBA1819;
Zotu228	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	1254	0	245	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	11	0	1	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	691	1	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;CAG-352;
Zotu236	0	0	1	0	0	0	0	0	0	4	0	0	0	39	0	0	1	0	0	0	0	340	176	0	0	197	0	0	1	0	0	0	0	0	0	0	0	0	0	0	412	0	0	1	0	0	0	0	0	0	0	149	0	579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	55	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	69	275	0	0	0	69	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Slackia;
Zotu323	0	0	0	0	0	0	2	0	0	11	0	0	0	156	0	2	351	1	0	0	0	0	0	1	0	0	0	2	0	3	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	8	1	322	0	0	0	0	0	1	0	108	0	0	0	0	0	0	0	0	0	350	0	0	0	1	0	0	0	0	0	0	0	0	7	8	0	227	0	1	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;
Zotu63	3	0	0	0	252	24	177	636	0	1	498	325	9	58	3309	1	191	217	3	1713	1296	33	678	509	0	4	52	397	1910	13	176	2005	0	0	8	1	0	0	9	3	1	3	5	22	2	41	0	1520	35	4	80	418	737	49	1070	22	4	0	4	0	1	0	1309	0	2	0	3	745	2	0	1025	330	2	0	175	1	194	144	333	1	0	632	0	0	33	9	151	205	55	1033	1	179	722	0	53	947	295	0	620	0	48	4	0	0	0	244	77	0	3	695	1	2	393	0	348	380	447	0	1	361	46	2	133	527	2	106	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae ND3007 group;
Zotu141	0	2	58	1	724	0	14	0	0	12	0	414	0	45	97	0	1	380	0	29	74	0	8	0	0	1	9	41	87	0	0	63	54	506	1	187	1	2	0	922	7	0	776	4	0	37	340	0	3	0	0	1	0	27	0	10	1	0	18	9	6	0	29	96	0	0	2	3	0	16	10	331	9	0	0	0	9	130	0	1	62	0	1	0	0	0	91	67	0	8	15	61	3	172	1442	3	0	18	53	386	12	0	5	0	21	0	82	0	1	2	0	0	0	215	919	0	14	0	6	134	20	0	55	3	163	88	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Turicibacter;
Zotu267	1	18	0	3	0	2	25	13	0	1	0	3	18	1	34	7	0	0	61	0	0	13	0	344	18	0	0	3	67	2	4	9	8	0	0	346	1	529	0	3	0	1	0	4	7	26	10	4	0	1	2	0	0	2	0	0	8	0	24	0	0	4	0	4	12	14	3	0	15	4	0	43	2	1	3	0	0	2	0	0	0	10	132	375	2	0	0	0	0	0	2	7	0	11	18	0	0	0	0	14	0	13	0	13	0	0	20	1	9	12	14	2	0	1	0	0	0	24	72	2	4	9	0	0	20	4	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Anaerostipes;
Zotu33	5	494	1578	3	689	157	1111	2464	1	27	2511	1	2714	2306	7	2824	718	343	11	911	564	1611	352	430	0	1281	46	805	4097	326	2874	780	1149	337	4	14	0	5	15	1903	2121	1113	3	223	2	1788	1	475	652	2	1001	1258	714	2959	241	44	2	3911	6	10	1	32	1105	695	5	0	6	460	1854	506	535	0	1	4	547	1	385	1003	399	0	531	842	1145	1	295	13	94	389	837	820	5	613	985	2	1239	219	634	763	300	2	1049	1042	1	0	1	668	931	1555	9	574	0	1	589	3	1241	1448	1959	1	4	3474	1555	3	1097	318	1	505	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium hallii group;
Zotu233	0	0	0	96	0	0	0	1	0	2	0	0	0	1	4	0	0	0	10	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	142	0	0	5	0	0	0	0	0	11	1	0	197	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	471	2	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	4	0	1	0	0	0	0	0	160	0	0	618	1	0	1	0	2	151	0	0	0	0	0	0	0	0	1	0	228	0	0	0	3	0	0	499	1034	0	0	0	0	0	477	3	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium hallii group;
Zotu166	0	0	0	0	476	20	431	882	0	0	0	0	0	3	493	159	0	0	0	297	278	852	52	0	0	0	0	761	1	365	3	1	2	0	0	8	0	0	7	309	604	1010	2	71	0	589	0	0	424	0	1	579	0	1	0	0	0	0	0	0	0	7	2	0	0	0	0	427	0	0	0	0	0	0	324	0	2	405	471	0	0	0	442	1	0	10	6	0	0	1	0	1019	0	1	468	0	0	3	26	0	0	1583	0	0	0	0	568	366	1	1	0	1	0	0	1840	972	1	1	0	3	14	1	952	0	0	207	Bacteria;Firmicutes;Clostridia;Oscillospirales;Eubacterium coprostanoligenes group;;
Zotu673	0	103	0	8	0	1	1	0	0	0	3	0	0	1	0	0	0	0	1	168	30	0	61	0	0	1	0	0	0	0	0	10	0	0	23	0	0	0	1	0	0	3	0	0	0	13	1	1	0	0	0	50	0	6	105	3	0	0	15	0	0	0	0	0	22	0	0	0	0	0	6	0	0	1	0	0	7	0	0	0	0	0	73	0	0	0	8	0	4	0	7	0	0	0	0	0	1	20	10	3	0	0	0	0	1	2	0	0	0	0	19	0	2	0	3	1	3	0	0	4	0	1	0	2	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
Zotu577	1	0	40	10	376	43	77	233	66	0	468	20	0	626	158	37	223	165	3	141	57	563	278	521	30	334	0	52	511	135	39	2	77	18	29	0	2	0	0	20	127	109	1	3	0	74	814	422	100	0	215	306	3	143	351	1	0	2	66	30	1	0	161	34	1	0	1	768	1	23	248	26	0	1	633	0	709	210	552	0	274	618	278	0	26	1	36	11	225	985	0	148	310	1	342	0	7	117	511	88	62	121	2	0	8	14	131	193	1	1034	32	1	278	0	263	22	201	1	2	97	67	0	230	81	246	187	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;
Zotu489	0	0	46	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	4	7	29	0	9	0	0	0	0	0	0	4	0	0	0	0	7	0	0	0	2	1	0	3	0	5	0	15	0	0	0	0	0	10	0	0	5	2	0	0	0	0	0	0	2	0	0	0	0	66	0	0	0	0	0	0	5	0	5	7	43	0	0	0	3	0	17	0	18	0	0	7	5	14	1	363	1	0	0	0	3	4	3	0	0	0	0	9	0	0	0	0	0	0	0	0	14	2	0	4	0	0	0	0	1	15	0	5	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;;
Zotu361	0	0	0	0	2	0	0	0	0	0	0	7	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	1	0	0	0	0	1196	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Epulopiscium;
Zotu137	0	101	7	34	20	53	9	36	14	1	18	32	18	10	39	4	1	8	36	3	9	4	6	559	205	2	245	3	188	15	10	8	42	5	374	871	2	248	0	72	10	2	0	49	626	30	68	12	12	10	26	4	0	5	4	3	3	6	42	5	22	4	4	40	67	49	33	1	11	23	2	269	130	2	33	0	6	4	7	0	13	102	107	0	9	0	3	3	1	2	175	10	7	211	3	105	473	10	1	60	6	0	0	265	5	4	18	7	282	64	104	2	6	63	50	4	9	81	136	14	39	23	36	4	10	0	Bacteria;Firmicutes;Bacilli;Erysipelotrichales;Erysipelotrichaceae;Clostridium innocuum group;
Zotu121	0	0	0	0	0	0	1	0	0	4	0	0	0	4	0	1	6	0	6	780	13	0	847	0	0	150	0	1	0	66	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	0	0	742	0	122	319	2	0	0	2	0	0	0	1514	0	0	1	0	84	0	0	0	0	0	0	1	0	0	0	0	0	0	0	169	0	0	0	0	0	22	149	119	1	1817	1071	0	0	0	0	13	13	0	1	0	0	0	0	0	0	0	2	0	0	0	0	299	0	1302	0	0	314	0	0	0	0	60	0	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;
Zotu373	0	0	25	0	0	4	0	0	0	0	5	0	0	7	0	0	0	0	0	25	22	0	13	2	0	3	0	17	0	0	7	0	0	0	0	3	0	0	0	13	1	0	0	4	0	7	0	0	0	0	5	11	0	7	16	0	0	0	0	0	0	0	5	0	0	0	0	3	0	0	1	0	0	0	7	0	5	0	61	0	2	0	0	0	77	0	275	0	0	0	0	0	1	0	0	0	0	21	2	15	4	4	0	0	0	212	0	0	4	0	0	1	1	0	9	2	4	7	0	0	0	0	0	0	4	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;
Zotu768	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;
Zotu235	1	0	1	0	0	0	0	0	380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1585	0	0	0	0	0	0	0	0	0	0	0	270	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	788	0	0	0	0	0	14	0	0	0	0	Bacteria;Firmicutes;Negativicutes;Veillonellales-Selenomonadales;Veillonellaceae;Veillonella;
Zotu1	70	7138	12660	2417	5468	3193	8839	5416	9942	237	14456	5521	26453	10292	7408	14803	9692	4775	448	11513	5889	12484	11860	22289	19226	16694	275	4838	26762	20921	9254	11030	7681	16140	5500	50	18	89	116	1681	6020	4118	77	872	4129	8647	15018	6723	16411	92	14287	20444	6079	18080	11725	317	4569	13323	12413	6534	6948	127	6798	4335	13764	16062	1996	5915	11512	1599	8784	1099	18594	42	21743	11	13485	6241	12495	16	5495	7360	17874	8226	1852	60	4600	2231	8326	8745	24319	3210	9858	8635	2908	6028	6274	11425	7009	736	6622	7239	70	21631	3400	5494	7994	2554	141	7976	2899	58	19505	7011	8527	11980	6119	11873	12198	12400	4888	83	5025	8881	1987	3877	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;
Zotu248	0	0	5	0	1	0	1	0	0	0	0	0	0	77	0	18	3	0	1	81	61	3	220	0	0	36	0	55	0	0	11	0	0	0	0	0	0	0	0	4	0	13	0	2	0	25	0	0	0	0	20	205	0	7	191	0	0	0	1	0	0	154	13	0	0	0	0	1	0	0	5	0	0	0	0	0	63	1	9	0	154	95	306	0	0	0	164	1	3	0	0	0	8	0	267	1	0	0	2	118	0	27	2	0	0	0	0	6	1	178	1	1	3	0	3	0	8	0	0	7	0	0	10	17	113	1	Bacteria;Firmicutes;Clostridia;Oscillospirales;Oscillospiraceae;UCG-003;
Zotu129	5	0	0	0	0	0	1	0	113	8	211	0	0	59	0	0	0	0	2	0	0	1	218	1	452	0	0	1	0	177	0	0	0	0	1712	0	0	0	0	114	0	105	0	9	1	251	290	1	5	1	0	107	138	0	105	0	0	0	4	1	0	0	1	0	0	0	57	83	0	0	0	0	0	0	623	0	171	0	0	0	214	0	0	0	0	0	0	0	0	18	0	218	0	0	0	0	3	0	143	0	258	0	0	0	0	427	167	20	0	0	0	1	0	0	76	1	0	355	209	0	0	1	0	0	2	0	Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Phascolarctobacterium;
Zotu338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;
Zotu294	0	0	0	0	159	0	594	1	0	0	60	0	0	1	26	46	7	4	0	206	58	168	1	95	88	5	1	889	559	7	2	3	2	4	0	0	0	0	0	0	2	56	1	0	0	14	1	163	0	0	1	3	1	4	108	0	1	0	9	0	12	0	162	4	16	0	0	2	1	1	281	1	0	0	38	0	82	8	47	0	2	8	0	0	1	0	286	4	10	5	5	11	23	4	5	0	200	66	60	9	4	124	0	5	1	3	108	136	1	47	1	1	36	8	9	3	6	0	0	62	4	0	21	18	15	11	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Roseburia;
Zotu542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0	0	0	Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;
Zotu111	0	0	456	1	137	58	272	123	0	15	0	1	0	137	0	0	706	126	6	208	258	99	173	0	0	106	0	215	0	0	0	1	284	91	0	0	0	0	1	302	0	96	0	10	0	302	0	0	501	0	0	297	0	106	101	0	0	2	1	0	1	0	260	0	2	0	0	13	1	140	0	1	1	0	0	0	0	355	0	0	88	2	0	0	0	0	643	161	543	113	258	270	69	105	254	0	0	0	43	0	0	99	0	0	0	0	351	372	1	2	0	0	0	0	11	414	795	0	1	326	97	0	66	157	105	223	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Coprococcus;
Zotu21	23	1	3049	871	221	4107	48	274	111	20	2128	2	2387	227	33	4284	655	1997	4139	1428	754	22	728	6	879	37	6	328	7	259	4084	3	10	1	16	19	2	0	9	373	59	153	9	5782	4	170	1	17	2148	9	1415	196	164	78	2499	2	3999	3	2	10	5	9227	238	460	2593	3700	10	190	217	1957	254	1	1208	603	638	0	1449	61	3328	5038	340	185	8815	6	8758	0	1902	1	38	45	11	4151	118	39	207	1	27	1202	306	6579	521	362	7	0	0	7394	226	241	6	1985	52	519	19	1	77	640	204	929	228	117	246	5	84	536	931	47	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
Zotu369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	276	0	0	0	0	762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001;
Zotu72	1	0	0	196	0	1	16	113	0	1	0	112	595	31	0	1	2	28	0	67	9	18	50	0	22	9	290	85	614	142	2669	4	6	0	7	20	0	10	1	2	111	136	6	32	0	4	0	189	1674	8	1756	131	9	5	180	0	0	0	301	2	6	3	44	0	12	2	9	3	31	28	1	314	5	0	1	0	7	2	183	3	21	0	695	0	538	0	1333	0	0	2	1400	114	4	2420	1	607	15	0	6	133	5	60	0	0	3	28	70	0	1	1	354	3	16	311	14	1110	23	185	727	1	40	0	0	125	25	2	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Tyzzerella;
Zotu254	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1755	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;;
Zotu859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;;;
Zotu268	0	145	55	154	1	3	1	0	0	2	4	3	109	0	0	28	28	4	42	3	160	3	1286	66	31	3	75	6	97	1	20	20	11	1	15	34	0	0	0	22	31	8	245	14	0	7	4	1	1	1	9	1340	0	5	15	33	0	2	0	0	25	149	0	0	236	3	5	1	10	11	0	0	8	0	10	0	0	0	45	2	1	68	138	0	4	0	164	0	58	0	4	17	1	45	21	0	0	5	0	13	9	5	0	0	0	38	15	10	0	19	9	2	0	0	0	4	3	7	5	2	0	0	3	0	13	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Lachnospiraceae NK4A136 group;
Zotu217	0	0	0	0	0	0	8	140	0	0	0	0	0	0	0	0	172	0	0	0	143	11	10	0	0	60	0	36	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	1	0	2	0	0	0	0	0	14	0	25	0	0	0	0	0	0	0	0	16	0	0	0	0	340	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	2451	2	58	72	0	0	0	0	11	0	0	0	56	0	0	66	0	0	0	0	0	0	1	3	0	0	0	0	30	0	10	81	6	0	196	0	0	52	0	1	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Barnesiellaceae;Barnesiella;
Zotu125	0	0	0	0	0	0	24	0	250	2	0	0	0	8	0	0	151	0	0	157	71	6	42	0	361	9	0	50	0	16	2	0	184	158	0	0	43	1	0	65	1	0	1	1	0	88	0	0	0	0	0	6	63	28	85	0	0	3	0	16	0	0	35	0	619	1	27	66	403	0	61	1	0	1	114	0	1	138	274	0	18	0	468	0	1	0	225	0	56	34	42	132	0	134	135	0	0	609	11	287	24	7	0	1	0	0	57	0	0	1	0	0	7	0	12	0	10	131	104	0	0	299	0	1	212	57	Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Bilophila;
Zotu528	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	12	0	0	1	23	35	67	0	0	1	0	9	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0	0	1	2	0	0	0	0	0	54	0	11	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	367	0	0	0	0	0	2	0	0	0	0	0	2	11	0	265	0	0	0	0	0	7	0	0	0	0	0	0	8	0	3	0	0	0	0	0	0	0	22	0	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group;
Zotu350	0	50	16	20	13	1	8	103	1	1	0	0	10	3	2	0	0	0	1	191	170	2	66	0	0	1	3	9	1	1	4	65	0	0	5	0	0	0	2	11	19	2	1	18	0	12	1	21	0	0	3	110	0	1	65	3	0	0	1	0	23	0	28	0	92	0	0	59	0	0	315	0	0	0	5	0	0	2	35	0	0	12	20	0	0	2	61	309	4	3	8	154	15	72	1	0	0	0	76	120	4	4	0	0	0	2	174	3	0	29	44	0	0	0	9	7	42	71	19	22	48	0	25	77	228	1	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium ventriosum group;
Zotu365	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	231	19	0	0	2	0	0	0	0	0	0	0	0	0	0	0	6	116	0	0	10	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	18	0	1	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	318	0	0	2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	98	0	0	0	1	0	0	0	2	1	0	0	0	1	1	0	0	Bacteria;Firmicutes;Clostridia;Peptococcales;Peptococcaceae;Peptococcus;
Zotu113	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	0	0	0	0	0	0	0	666	0	0	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	7468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae NK3B31 group;
Zotu562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	238	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Eubacterium hallii group;
