##OTU ID	CD.IV.B.24	UC.PO.3M.93	no.IV.3M.123	CD.IV.3M.79	UC.PO.B.28	UC.IV.3M.103	no.PO.B.53	UC.PO.3M.95	CD.IV.B.19	CD.IV.B.43	UC.PO.B.11	CD.PO.3M.64	UC.PO.B.30	UC.IV.3M.104	UC.PO.B.36	no.IV.B.57	CD.IV.B.26	UC.IV.B.40	no.PO.B.45	no.IV.B.60	no.IV.3M.125	no.PO.B.52	no.IV.3M.118	CD.IV.B.22	CD.PO.B.4	no.IV.B.61	UC.PO.3M.94	no.PO.3M.116	no.PO.3M.115	no.PO.3M.113	no.PO.3M.114	CD.PO.B.7	CD.IV.B.20	CD.IV.3M.83	CD.PO.B.12	CD.IV.3M.106	CD.PO.3M.66	CD.IV.3M.85	UC.PO.3M.99	no.IV.3M.126	UC.PO.B.29	no.IV.3M.119	CD.PO.3M.71	UC.IV.3M.105	CD.PO.B.2	no.IV.B.63	CD.PO.3M.75	UC.PO.B.31	CD.PO.3M.76	CD.IV.B.15	no.PO.B.51	no.IV.B.55	CD.IV.B.14	no.IV.3M.124	no.PO.B.49	UC.IV.B.39	CD.PO.3M.72	CD.IV.B.25	CD.IV.B.18	CD.IV.3M.82	CD.PO.B.8	no.IV.3M.120	no.PO.3M.109	CD.IV.B.17	no.PO.3M.108	UC.IV.3M.100	CD.PO.B.5	UC.PO.3M.98	CD.IV.3M.88	CD.IV.3M.80	no.PO.B.48	CD.PO.B.1	UC.IV.B.37	CD.PO.3M.67	no.PO.B.50	UC.IV.B.27	UC.PO.3M.74	UC.IV.3M.107	CD.PO.3M.69	CD.PO.B.9	UC.IV.B.41	no.IV.3M.117	no.PO.3M.112	CD.PO.3M.68	UC.PO.3M.92	UC.IV.3M.102	no.IV.B.62	UC.PO.B.33	CD.IV.3M.89	UC.PO.B.35	UC.IV.B.38	UC.PO.3M.97	no.IV.3M.122	UC.IV.3M.101	UC.IV.B.44	CD.PO.3M.73	CD.IV.3M.77	no.PO.3M.111	no.IV.B.58	no.PO.B.47	CD.IV.3M.86	CD.PO.3M.70	UC.IV.B.42	CD.PO.3M.65	CD.IV.3M.81	CD.IV.B.23	UC.PO.B.34	no.IV.B.56	CD.IV.3M.87	no.IV.B.54	CD.IV.B.16	CD.IV.3M.78	CD.PO.B.6	CD.PO.B.10	no.IV.3M.121	CD.PO.B.13	no.PO.B.46	CD.IV.B.21	CD.IV.3M.84	no.IV.B.59	UC.PO.B.32	CD.PO.B.3	UC.PO.3M.91	UC.PO.3M.96	no.PO.3M.110	UC.IV.3M.90	taxonomy
Zotu306	0	0	86	52	49	0	39	1	0	1	10	0	0	57	0	0	202	3	0	38	45	78	44	0	0	132	0	40	47	23	0	33	0	0	0	0	0	0	3	160	49	36	0	6	0	115	0	0	124	0	1	63	0	255	3	2	0	0	0	1	1	0	38	0	37	0	0	30	1	0	5	0	0	1	73	0	13	51	0	0	50	96	54	0	0	0	66	0	141	24	2	0	7	2	85	0	0	55	10	26	25	92	1	0	0	0	0	85	1	20	154	0	3	0	87	75	76	15	0	33	0	0	40	0	94	16	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group;
Zotu285	0	0	0	375	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	6	117	0	23	1	0	134	0	0	1	13	0	0	0	0	3	0	0	0	1	1134	27	3	0	5	0	68	0	1	6	36	0	17	0	415	1	6	0	0	0	0	2	1	18	0	0	0	0	72	0	0	0	0	0	0	25	0	0	19	0	0	3	26	99	0	1	0	100	0	0	42	0	0	3	1	6	0	0	1	10	17	0	0	0	0	0	0	0	21	0	0	1238	3	0	0	234	13	50	10	0	3	0	0	1	0	60	10	Bacteria;Firmicutes;Clostridia;Christensenellales;Christensenellaceae;Christensenellaceae R-7 group;
Zotu1627	0	0	0	9	75	8	105	598	0	2	242	0	4	279	20	235	159	80	1	387	26	159	54	3	18	56	4	38	58	93	14	3	80	14	1	0	0	2	0	10	25	33	0	1	1	99	0	644	123	0	198	35	0	34	273	0	1	0	0	2	0	0	196	53	22	47	0	268	0	5	128	0	120	0	26	0	29	54	175	0	53	14	10	0	5	0	47	89	129	774	177	88	28	46	125	114	6	58	219	326	35	46	0	15	3	18	208	46	1	64	14	0	61	91	25	132	206	77	83	45	943	1	58	232	72	34	Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Blautia;
Zotu210	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	66	0	0	0	357	0	1177	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	726	0	2	44	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	687	0	0	0	27	0	47	0	0	1	1	0	0	0	0	1	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	202	1	0	0	0	0	0	0	0	0	2	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Ruminococcus;
Zotu69	0	284	0	843	41	25	50	0	0	33	9	22	232	1748	1063	3	360	40	4	51	264	423	390	1	0	57	14	191	337	403	301	1234	3	1	326	2	0	1	8	1878	1185	124	1	143	1	575	339	33	334	41	30	326	0	1180	15	18	1	0	5	1	5	5	437	19	209	3	1	464	4	97	31	26	5	2	1496	0	3	377	115	0	894	781	299	1	12	0	70	0	482	326	657	61	451	2676	366	0	3	62	227	1488	23	1279	9	0	0	20	79	105	5	540	1963	12	57	0	2965	154	1158	146	41	2111	0	1	67	110	1217	268	Bacteria;Firmicutes;Clostridia;Oscillospirales;Ruminococcaceae;Incertae Sedis;
Zotu591	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	66	10	0	0	0	0	0	0	0	0	0	0	360	0	0	0	0	0	0	0	13	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Bacteria;Firmicutes;Clostridia;Oscillospirales;Butyricicoccaceae;;
Zotu101	0	0	0	0	0	11924	0	1	0	43	0	0	0	8	0	0	74	3734	2	0	0	41	3	0	0	0	0	1	1	0	1	2	0	0	2	9	1	0	1	0	0	2245	1	250	1	0	0	1	0	0	1	0	0	0	0	2	0	0	1	3	0	0	773	0	3	0	0	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	2	0	0	0	0	5	2	3	0	0	0	1	0	2	1	0	1	0	97	4	0	0	0	0	420	2	0	0	1	0	0	2	1	81	0	1	0	0	0	0	0	0	0	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotella;
Zotu468	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	0	0	248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	19	0	Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Cloacibacillus;
Zotu164	12	0	0	0	0	0	59	1	0	0	639	0	0	0	0	260	5	0	0	1	1	2	108	1	0	2	0	136	0	0	0	1	1	0	0	0	0	0	2	27	313	44	3	0	0	212	1	1	0	0	0	62	2	0	474	0	892	1	0	0	0	520	0	0	0	0	0	0	1	0	161	0	0	0	0	0	210	198	2	1042	0	0	2	0	822	0	0	1	4	0	0	0	0	0	236	0	1	232	42	0	62	44	0	0	0	1039	0	142	2	0	0	0	0	2	68	0	0	1	0	0	0	0	2	0	1	112	Bacteria;Bacteroidota;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;
Zotu324	2	0	0	73	0	0	0	0	0	0	1	0	0	24	0	0	0	1	19	0	6	0	7	71	0	2	1	2	0	52	4	12	4	0	2	0	0	0	0	560	33	2	0	3	0	127	3	8	30	0	0	1	0	7	0	5	0	0	0	0	0	0	3	0	41	0	0	18	0	0	0	0	0	0	50	0	1	18	0	0	1	400	22	0	0	2	9	0	0	14	1	50	0	20	0	0	0	0	6	3	8	4	0	0	0	0	0	10	0	66	37	0	0	0	84	39	2	93	29	0	0	0	19	0	19	6	Bacteria;Firmicutes;Clostridia;Peptostreptococcales-Tissierellales;Anaerovoracaceae;Family XIII AD3011 group;
